temperature,humidity,soil_moisture,rain/rain_probability,crop,crop_stage,yield,market_demand,price
29.9,65.0,41.5,0.0,Tomato,Vegetative,11400,5548,43.14
34.7,72.4,34.0,0.0,Tomato,Vegetative,16064,4882,44.43
34.2,62.2,39.3,20.0,Tomato,Vegetative,17039,21374,23.93
32.3,66.7,55.0,6.4,Coriander,Flowering,1083,1080,113.48
33.8,53.0,31.2,21.8,Potato,Tuber Initiation,7363,3112,41.46
31.9,59.5,48.1,0.0,Banana,Flowering,48497,50398,30.86
30.4,68.6,51.6,6.2,Potato,Tuber Bulking,6510,5159,26.17
32.5,82.5,58.8,38.1,Coriander,Seed Maturity,1977,790,139.25
29.2,65.7,46.8,8.9,Bitter Gourd,Harvest,18391,9458,55.87
35.8,61.0,34.5,6.4,Onion,Vegetative,5400,3271,28.73
33.4,84.3,41.9,13.2,Drumstick,Harvest,20081,15752,51.94
33.5,87.0,45.2,8.8,Coriander,Seed Maturity,2095,1173,189.02
28.9,69.1,50.0,25.3,Banana,Flowering,43011,25008,30.19
29.6,63.5,41.1,0.0,Pumpkin,Flowering,22410,18275,28.85
31.2,77.1,32.1,0.0,Tomato,Maturity,26938,15222,36.44
28.4,75.2,51.9,0.0,Tapioca,Root Initiation,13716,12643,16.05
30.1,78.6,57.3,14.3,Banana,Bunch Development,61364,50999,34.69
35.3,56.8,51.4,23.9,Pumpkin,Flowering,12375,5844,22.95
25.4,66.4,34.2,12.6,Drumstick,Harvest,22727,14011,61.29
28.1,77.7,51.1,2.4,Chilli,Vegetative,4016,2045,87.71
36.5,69.5,42.1,14.0,Cauliflower,Vegetative,8400,3472,51.29
30.7,56.5,41.9,0.0,Chilli,Harvest,3885,3093,68.19
35.2,89.4,45.3,20.2,Cauliflower,Curd Development,15637,12919,41.16
29.0,73.9,32.5,30.5,Coriander,Flowering,1717,1028,128.99
33.8,91.9,61.4,27.9,Bitter Gourd,Harvest,16211,7032,76.25
34.3,73.5,44.6,19.5,Cauliflower,Seedling,8400,6447,41.93
33.3,71.2,51.8,15.1,Potato,Tuber Initiation,6415,3381,26.6
33.8,83.2,49.2,44.0,Tomato,Vegetative,11579,7534,39.35
25.3,54.4,32.0,16.0,Tapioca,Vegetative,10800,6012,22.79
31.7,57.0,45.1,33.5,Tapioca,Maturity,28044,13394,27.39
33.7,65.8,29.9,12.6,Potato,Vegetative,5700,4362,35.86
32.1,78.1,65.0,2.6,Chilli,Vegetative,3600,1783,54.12
35.3,50.3,19.1,0.0,Banana,Maturity,55774,21315,41.83
32.4,71.2,56.3,32.5,Tapioca,Vegetative,10800,7300,17.15
30.9,86.5,34.5,40.6,Coriander,Flowering,1236,562,146.63
26.2,75.7,63.6,4.4,Cauliflower,Curd Initiation,9443,2657,59.84
34.5,71.4,43.6,12.5,Drumstick,Pod Development,15590,13757,41.06
32.5,82.5,54.8,16.0,Drumstick,Harvest,18014,14559,51.35
29.5,93.4,58.1,4.0,Tomato,Maturity,25229,20425,38.81
29.9,70.6,40.1,0.0,Potato,Tuber Bulking,8995,9936,26.21
29.0,79.8,48.5,36.0,Coriander,Flowering,1754,1596,171.42
31.6,77.1,44.4,33.6,Onion,Vegetative,5400,5219,35.36
32.6,79.9,54.3,12.4,Cauliflower,Curd Initiation,8400,3516,54.59
39.5,68.5,42.7,16.0,Coriander,Leaf Expansion,1050,708,125.69
36.4,50.3,43.9,16.7,Bitter Gourd,Vegetative,7786,3544,61.17
33.5,66.2,41.0,9.0,Chilli,Vegetative,3704,2191,55.18
34.3,74.2,35.5,16.3,Tomato,Fruiting,28359,28998,34.49
33.9,66.6,35.7,11.9,Tomato,Vegetative,15126,8211,48.18
33.6,66.9,55.4,19.9,Potato,Tuber Bulking,9477,12000,19.35
34.0,69.6,44.7,12.9,Bitter Gourd,Fruiting,10633,8288,42.92
30.9,96.8,46.4,29.0,Drumstick,Harvest,17985,19937,46.2
35.3,63.5,44.2,3.1,Onion,Bulb Development,7840,6559,42.63
36.1,71.7,54.2,20.8,Potato,Tuber Initiation,6384,3785,37.31
29.8,60.4,62.7,5.0,Tomato,Maturity,16198,17048,31.64
28.8,74.3,40.6,8.0,Coriander,Flowering,1829,1129,139.5
34.6,81.6,52.1,21.0,Chilli,Seedling,3600,2551,51.4
34.9,68.6,36.9,12.4,Onion,Maturity,12746,9191,36.96
33.5,71.1,37.8,16.8,Onion,Nursery,5400,3061,41.13
36.8,89.5,50.6,8.2,Bitter Gourd,Harvest,10948,11604,41.26
28.3,71.9,58.9,21.4,Potato,Vegetative,6751,6637,33.75
28.3,86.4,60.8,0.0,Potato,Tuber Bulking,8632,7057,24.1
31.7,61.7,43.9,1.0,Potato,Tuber Initiation,5700,5156,26.39
31.8,67.7,36.8,0.0,Tapioca,Maturity,28824,17472,26.87
27.5,85.5,63.2,49.0,Tomato,Flowering,22605,9194,61.86
30.7,77.9,63.5,30.0,Potato,Tuber Initiation,8091,3665,46.44
31.8,90.3,65.0,45.1,Tomato,Maturity,22678,11230,41.75
26.6,77.8,40.5,20.8,Cauliflower,Vegetative,10959,3200,56.16
32.1,66.3,52.1,29.7,Bitter Gourd,Harvest,13606,10676,46.95
36.4,73.5,47.1,16.7,Potato,Vegetative,5700,4533,31.04
31.6,68.8,46.9,0.0,Pumpkin,Vegetative,9600,7220,22.93
35.5,80.8,47.2,6.4,Banana,Bunch Development,44581,35040,32.12
25.9,83.2,65.0,40.0,Cauliflower,Seedling,8400,4498,41.78
28.7,62.8,34.2,26.4,Drumstick,Harvest,33000,14550,65.55
29.3,72.4,37.4,5.5,Bitter Gourd,Fruiting,14564,13310,44.74
33.2,72.0,42.1,2.1,Cauliflower,Curd Development,12404,4537,36.11
32.4,52.9,43.8,3.2,Drumstick,Harvest,23502,15792,55.05
35.0,77.4,51.1,0.0,Drumstick,Harvest,19163,12573,46.11
29.2,58.6,47.1,22.2,Chilli,Vegetative,4548,3027,62.93
28.1,71.9,40.8,7.8,Onion,Nursery,5400,4182,36.1
27.0,73.7,39.8,9.1,Drumstick,Vegetative,13606,9564,63.47
34.3,68.1,42.5,16.6,Tomato,Flowering,19940,10268,40.35
28.4,84.7,50.4,3.8,Cauliflower,Curd Initiation,8400,8018,32.84
33.8,65.2,62.4,2.1,Cauliflower,Curd Development,14200,6786,48.02
35.0,69.9,28.0,0.0,Potato,Maturity,9386,6584,29.37
30.8,52.1,44.8,0.0,Coriander,Flowering,1313,854,142.41
26.8,77.1,49.0,29.9,Tomato,Flowering,17569,13714,54.67
32.8,79.8,58.6,0.0,Potato,Tuber Bulking,9855,6394,30.5
33.9,77.1,50.1,20.0,Pumpkin,Fruit Development,21182,15027,20.84
35.7,91.8,54.1,23.1,Coriander,Flowering,1141,487,162.78
33.5,79.3,45.6,17.2,Chilli,Seedling,3600,2058,81.7
30.0,63.3,60.1,12.1,Banana,Vegetative,40719,11354,43.03
30.6,79.4,55.1,29.0,Tapioca,Maturity,17981,10127,17.27
25.8,83.4,63.1,22.3,Banana,Vegetative,35688,21892,46.13
30.8,73.2,50.0,19.8,Tapioca,Tuber Bulking,25783,8186,24.54
34.2,77.6,46.8,14.2,Tapioca,Vegetative,13831,9849,22.79
30.5,64.3,31.8,5.8,Banana,Flowering,55295,34489,41.88
33.3,69.1,39.6,10.3,Brinjal,Seedling,12638,11519,37.12
31.3,67.4,54.3,13.8,Banana,Maturity,63268,36743,33.48
28.9,70.2,45.9,0.0,Bitter Gourd,Harvest,18582,27839,33.45
28.9,57.4,34.7,16.3,Coriander,Flowering,1239,959,131.05
33.9,82.6,42.6,23.0,Chilli,Harvest,6020,5038,64.72
35.3,86.6,52.0,18.4,Tapioca,Maturity,16478,19689,10.25
31.4,55.2,36.3,3.5,Onion,Vegetative,8049,9247,26.74
36.4,76.6,47.4,25.4,Coriander,Leaf Expansion,1568,767,166.66
35.4,91.1,46.8,1.0,Pumpkin,Fruit Development,18790,13501,32.47
31.0,87.4,61.3,41.1,Banana,Flowering,42953,20992,38.33
31.6,72.0,36.7,26.3,Drumstick,Flowering,16802,13801,44.66
38.1,63.8,43.5,18.1,Tapioca,Tuber Bulking,16282,8940,27.91
28.0,69.5,55.4,9.2,Banana,Vegetative,33194,28882,29.24
33.7,69.3,52.4,30.6,Chilli,Seedling,3600,3567,68.24
34.8,78.5,44.0,7.3,Tomato,Fruiting,20886,13616,29.6
32.5,70.2,50.2,8.2,Tomato,Maturity,17533,9278,41.93
33.9,54.9,38.4,3.4,Onion,Vegetative,7358,3551,36.44
32.1,56.8,28.2,11.2,Tomato,Maturity,26767,22246,39.22
31.1,59.2,53.0,0.0,Potato,Tuber Initiation,5700,5324,23.23
30.7,67.9,45.9,18.0,Pumpkin,Maturity,30845,12906,24.08
31.4,58.3,48.9,0.0,Drumstick,Vegetative,11573,5457,57.46
34.0,60.8,35.0,11.9,Potato,Tuber Bulking,8822,5067,28.49
31.8,60.0,41.4,18.7,Tapioca,Root Initiation,16012,9910,20.5
30.9,68.0,44.2,17.9,Onion,Maturity,10508,12701,23.12
24.3,79.9,65.0,0.0,Cauliflower,Curd Development,15329,7613,42.08
32.3,85.6,52.7,40.9,Brinjal,Vegetative,13614,11019,32.45
30.2,66.8,28.9,0.0,Chilli,Vegetative,5070,4734,59.0
31.5,64.1,46.6,23.2,Coriander,Flowering,1954,973,190.15
34.1,71.3,60.3,0.0,Coriander,Seed Maturity,1160,422,123.18
31.9,70.6,44.4,0.0,Chilli,Fruiting,6267,4573,83.18
31.6,54.8,38.7,28.1,Cauliflower,Vegetative,10363,7506,42.13
30.7,78.1,50.9,26.2,Onion,Nursery,5400,2788,47.64
31.6,54.9,31.4,0.0,Tomato,Fruiting,22786,16177,33.93
32.3,63.8,44.7,23.2,Banana,Bunch Development,74789,32009,46.28
27.4,68.9,54.3,29.8,Tomato,Flowering,24752,18808,49.67
31.5,52.5,36.6,0.0,Chilli,Seedling,3600,3093,74.59
31.8,74.3,37.0,0.0,Brinjal,Vegetative,16970,11664,45.51
29.2,53.7,42.7,14.1,Cauliflower,Vegetative,12397,10232,48.28
30.0,71.6,48.9,1.6,Bitter Gourd,Vegetative,10652,13165,32.61
29.6,53.1,40.2,3.8,Cauliflower,Seedling,8400,4814,57.81
28.1,72.3,56.8,28.3,Banana,Maturity,41284,39020,35.59
27.4,52.8,51.7,0.0,Cauliflower,Harvest,15323,19101,28.77
32.3,73.7,38.6,4.2,Drumstick,Harvest,18815,9111,60.59
28.0,74.4,48.4,3.1,Coriander,Flowering,1412,1176,102.93
32.2,85.7,58.0,30.9,Coriander,Flowering,1454,1020,122.88
28.3,69.1,51.4,13.9,Coriander,Seed Maturity,2771,1568,121.8
34.1,70.9,40.2,16.5,Drumstick,Vegetative,9793,5389,66.58
31.4,75.0,45.9,20.3,Cauliflower,Seedling,8400,3667,40.26
34.5,64.8,28.1,15.7,Tapioca,Maturity,29169,20747,19.86
30.7,69.0,40.5,25.6,Coriander,Flowering,1537,1093,118.15
32.7,66.5,65.0,29.5,Chilli,Fruiting,9743,4382,83.91
31.6,82.2,45.3,21.1,Bitter Gourd,Fruiting,18444,11899,44.88
26.6,66.9,42.7,3.1,Cauliflower,Curd Initiation,15877,7224,59.65
28.9,67.7,48.3,17.8,Brinjal,Seedling,12600,14581,44.78
32.5,68.3,43.1,25.2,Brinjal,Fruiting,31368,18490,42.27
31.9,63.3,34.5,28.6,Brinjal,Seedling,14133,4528,63.47
27.7,76.6,42.9,22.4,Drumstick,Harvest,24211,11443,83.41
33.4,71.9,57.8,31.8,Tapioca,Root Initiation,14981,11296,22.65
33.0,70.3,46.7,5.2,Cauliflower,Harvest,12663,4573,38.35
31.6,56.5,39.4,19.6,Potato,Maturity,10417,10314,22.6
30.2,79.9,59.0,17.7,Onion,Nursery,5400,4249,39.73
32.1,68.9,48.5,25.3,Banana,Vegetative,35700,25064,30.79
28.7,77.0,54.3,20.3,Bitter Gourd,Harvest,22636,15118,62.36
34.3,72.5,49.6,7.1,Tapioca,Maturity,22664,17720,16.89
28.4,80.6,54.3,37.7,Cauliflower,Seedling,8400,5281,46.5
28.4,81.3,52.4,5.1,Pumpkin,Fruit Development,13406,10386,21.77
37.2,76.2,56.9,44.0,Tomato,Fruiting,20602,25337,26.0
29.8,56.6,44.0,0.0,Drumstick,Pod Development,24660,14977,49.93
29.5,61.2,64.8,7.2,Onion,Vegetative,5400,3490,47.69
32.1,82.7,46.0,21.2,Pumpkin,Fruit Development,20858,17594,27.12
26.8,62.2,64.7,37.1,Coriander,Flowering,1056,553,161.65
36.3,89.0,46.9,35.3,Chilli,Harvest,8741,3592,57.05
28.2,59.2,53.9,29.7,Tomato,Seedling,11559,8941,38.67
31.3,82.6,60.9,0.0,Onion,Maturity,11132,5242,38.86
35.4,63.8,50.8,15.7,Tomato,Seedling,11400,6906,46.63
36.2,77.6,60.6,30.4,Brinjal,Flowering,15484,11031,31.05
29.4,63.5,44.1,20.1,Potato,Maturity,10278,7650,28.58
26.2,68.3,37.4,10.8,Potato,Vegetative,6182,4266,41.32
32.8,69.9,21.6,27.4,Pumpkin,Vegetative,13585,10187,26.89
34.1,76.2,33.5,26.2,Bitter Gourd,Vegetative,10557,8148,37.95
32.1,41.3,35.6,0.7,Pumpkin,Maturity,17211,14081,26.55
34.2,64.2,49.7,0.0,Drumstick,Vegetative,8400,8754,47.93
33.5,79.4,54.8,7.5,Potato,Vegetative,5700,3962,32.33
35.2,75.8,44.8,17.0,Potato,Tuber Bulking,13047,4459,39.26
38.2,55.2,49.7,16.2,Tapioca,Maturity,22427,22635,14.79
35.4,64.0,38.4,10.3,Tomato,Maturity,23712,28595,31.0
33.4,76.1,40.3,23.7,Banana,Bunch Development,44867,19607,28.29
29.5,57.2,37.8,12.4,Coriander,Vegetative,1050,732,142.72
34.6,91.7,44.5,15.8,Chilli,Flowering,6690,4007,67.45
31.9,44.0,30.2,0.0,Onion,Nursery,5400,2405,45.75
33.1,82.6,48.3,12.2,Chilli,Fruiting,5414,3642,63.69
35.7,74.8,47.2,9.6,Tapioca,Root Initiation,12328,13168,16.61
36.5,73.8,43.0,0.0,Brinjal,Flowering,18677,13837,46.89
29.8,72.0,43.6,44.4,Pumpkin,Maturity,30277,20113,26.59
27.4,65.6,29.8,5.9,Brinjal,Fruiting,30843,17297,40.27
32.8,51.8,28.2,0.0,Pumpkin,Maturity,27931,25172,20.26
30.8,73.9,56.8,16.8,Onion,Maturity,10182,8401,30.07
29.7,70.9,51.5,0.0,Cauliflower,Harvest,11645,5641,52.07
31.9,83.6,50.9,16.2,Brinjal,Harvest,22012,19513,47.77
32.2,68.2,50.4,3.5,Cauliflower,Harvest,16427,13244,41.48
33.1,62.1,52.5,18.6,Cauliflower,Harvest,15518,5996,47.53
33.0,55.7,32.0,6.4,Banana,Maturity,46765,48553,25.47
31.5,84.5,54.9,6.6,Coriander,Seed Maturity,2338,1868,154.99
27.8,67.3,44.8,13.0,Drumstick,Flowering,15068,11725,60.36
34.9,68.8,49.8,0.0,Banana,Vegetative,27448,17001,45.37
29.0,87.2,55.1,0.0,Banana,Flowering,45301,26147,41.68
36.0,68.2,47.3,2.2,Tapioca,Vegetative,11580,6668,24.85
27.0,51.3,49.5,0.0,Chilli,Harvest,4437,1835,66.29
24.9,56.8,38.6,0.0,Pumpkin,Fruit Development,18649,14820,25.68
27.5,64.9,44.8,0.0,Coriander,Leaf Expansion,1057,263,165.61
35.9,60.6,27.7,0.0,Chilli,Seedling,3600,3126,48.35
33.1,78.9,48.7,18.1,Bitter Gourd,Flowering,8686,7709,41.44
31.3,78.1,51.4,2.6,Bitter Gourd,Flowering,12696,7338,58.63
34.9,88.0,52.1,18.9,Brinjal,Flowering,23206,19044,32.59
30.0,46.2,35.6,11.1,Banana,Maturity,78344,70377,34.69
29.4,79.9,65.0,23.4,Chilli,Seedling,3600,2006,73.0
36.2,65.5,33.7,22.9,Cauliflower,Seedling,8400,5932,39.29
35.0,66.7,39.7,4.7,Pumpkin,Vegetative,12349,11249,20.82
35.4,81.6,59.9,18.8,Banana,Bunch Development,47884,26236,35.94
37.3,72.7,46.8,29.6,Pumpkin,Vegetative,11916,7963,24.36
30.9,64.3,44.4,0.0,Potato,Maturity,8576,4691,33.36
31.2,63.4,46.4,0.0,Bitter Gourd,Vegetative,12590,8307,41.13
27.8,67.2,26.9,26.1,Coriander,Vegetative,1647,2046,161.79
27.6,65.4,49.6,18.5,Tomato,Flowering,12651,5901,38.03
31.4,85.4,53.6,20.1,Onion,Maturity,10813,6782,37.82
31.4,61.6,40.8,30.1,Banana,Vegetative,31657,29698,29.78
36.4,72.6,54.1,42.5,Bitter Gourd,Fruiting,13399,18259,35.87
29.8,62.7,49.7,14.6,Drumstick,Harvest,24209,10915,54.88
28.0,77.3,57.9,12.3,Potato,Tuber Bulking,9880,7713,43.4
35.5,96.3,61.9,46.4,Cauliflower,Curd Development,15135,7507,38.97
34.8,77.4,35.9,0.5,Brinjal,Fruiting,25422,10233,66.53
31.2,58.5,51.6,0.0,Tomato,Seedling,11400,6044,35.39
31.4,71.3,52.9,3.0,Tapioca,Maturity,25383,20003,16.01
29.5,68.2,59.6,35.9,Tomato,Seedling,15577,11243,31.95
32.4,79.1,48.2,16.9,Cauliflower,Curd Initiation,11051,15524,27.14
35.2,59.3,49.2,16.8,Pumpkin,Flowering,10559,12637,17.63
33.1,69.0,42.5,3.7,Bitter Gourd,Vegetative,9891,7295,43.41
33.4,97.0,65.0,23.0,Coriander,Seed Maturity,2401,1928,126.62
28.8,68.4,43.6,33.5,Tomato,Maturity,20879,12869,42.05
31.7,78.3,55.4,0.0,Onion,Nursery,5400,5010,39.87
32.9,68.3,52.5,12.9,Banana,Flowering,51500,22138,49.22
30.1,76.8,60.7,0.0,Bitter Gourd,Vegetative,10022,8081,62.66
29.1,71.0,45.3,2.4,Drumstick,Pod Development,18472,16609,67.89
31.3,76.8,54.3,29.9,Banana,Vegetative,27000,20803,32.35
33.0,72.0,64.0,16.9,Potato,Maturity,10084,9638,30.74
28.6,71.4,50.9,28.2,Coriander,Seed Maturity,2701,3087,91.53
36.6,80.1,42.3,0.0,Coriander,Seed Maturity,2376,1657,122.53
32.8,72.2,34.2,0.0,Chilli,Fruiting,6508,7609,54.2
31.4,74.4,58.7,13.7,Onion,Maturity,11478,8957,38.51
37.6,81.7,46.6,2.8,Pumpkin,Fruit Development,21871,10200,26.09
31.2,84.7,56.3,0.0,Brinjal,Harvest,23736,8618,63.5
28.2,84.0,52.3,43.2,Chilli,Fruiting,7872,3760,99.13
35.6,70.1,37.8,42.4,Brinjal,Flowering,12600,11048,40.42
30.0,74.0,45.6,34.3,Coriander,Leaf Expansion,1478,670,110.72
34.0,65.1,52.3,0.0,Pumpkin,Maturity,22412,28715,14.5
30.6,59.5,39.4,23.5,Onion,Bulb Enlargement,9363,6439,30.17
35.5,64.3,30.7,15.4,Chilli,Harvest,6356,3958,69.91
35.6,73.1,48.6,24.3,Tapioca,Maturity,17679,10652,21.94
33.4,70.6,38.2,44.5,Chilli,Vegetative,4852,4836,51.42
29.7,68.7,45.7,0.0,Brinjal,Harvest,38639,21775,49.4
34.2,75.2,52.6,21.1,Bitter Gourd,Harvest,19058,18232,58.77
31.5,72.7,41.6,22.0,Brinjal,Seedling,12600,11429,39.39
25.4,68.2,38.3,0.0,Tapioca,Root Initiation,20731,12777,22.48
35.6,86.3,61.4,25.3,Pumpkin,Fruit Development,15177,12117,18.62
31.4,70.6,39.9,22.7,Onion,Nursery,5400,4977,41.66
37.4,78.2,45.3,26.2,Tapioca,Root Initiation,10800,5494,25.27
33.8,90.2,47.5,17.0,Pumpkin,Vegetative,10482,4672,21.02
30.0,84.9,53.0,1.1,Cauliflower,Vegetative,9214,7793,44.78
32.9,50.5,39.1,36.6,Potato,Tuber Bulking,10895,11404,22.32
29.6,80.0,59.9,27.5,Brinjal,Flowering,16291,9532,47.53
31.7,69.9,64.4,21.2,Coriander,Leaf Expansion,1132,857,140.14
32.7,79.9,41.2,11.4,Potato,Vegetative,5700,4320,28.07
35.1,74.7,40.2,19.2,Banana,Vegetative,33625,13421,42.32
30.5,74.0,61.7,11.4,Chilli,Fruiting,4292,3642,67.27
32.2,75.1,32.2,11.1,Drumstick,Vegetative,15626,10094,46.61
30.0,80.5,45.9,14.5,Drumstick,Harvest,11301,10675,50.19
31.0,73.0,56.8,1.8,Coriander,Flowering,1284,602,194.71
36.5,68.6,35.2,0.0,Pumpkin,Vegetative,9619,10019,20.89
33.3,69.3,43.7,14.2,Chilli,Flowering,6087,6557,48.46
31.8,81.1,31.6,23.2,Tomato,Seedling,14986,11341,32.25
31.5,68.7,38.1,0.0,Tapioca,Tuber Bulking,20165,20634,20.88
35.9,87.6,65.0,34.8,Banana,Maturity,54893,45897,46.01
31.1,79.6,62.3,32.2,Pumpkin,Flowering,11302,5960,35.0
31.8,68.8,51.7,27.2,Bitter Gourd,Vegetative,7200,2059,57.92
35.5,89.0,45.4,20.3,Chilli,Vegetative,3600,2551,64.34
33.4,68.2,49.3,12.7,Pumpkin,Flowering,21057,12547,34.97
31.4,68.7,43.6,26.4,Tapioca,Maturity,26357,16252,26.68
32.7,63.2,59.6,27.2,Chilli,Flowering,5477,7691,50.74
29.6,65.4,40.0,14.4,Onion,Maturity,9969,6000,37.9
33.4,70.5,48.9,37.2,Chilli,Harvest,9357,2719,81.62
33.1,74.8,37.2,14.0,Potato,Tuber Bulking,10887,7847,32.46
34.1,67.5,39.5,13.3,Brinjal,Harvest,22462,10218,73.16
36.3,65.9,33.1,0.0,Pumpkin,Flowering,24006,10821,22.0
34.4,62.4,57.5,0.0,Drumstick,Pod Development,16526,12570,41.54
30.6,84.5,51.0,13.8,Bitter Gourd,Fruiting,17869,6626,59.75
29.9,62.5,41.5,9.4,Tomato,Fruiting,18463,16225,35.1
29.6,53.4,36.7,16.1,Onion,Bulb Development,8018,4610,41.02
31.6,77.0,48.4,4.3,Potato,Vegetative,5710,6299,27.61
30.3,70.5,38.9,27.5,Tomato,Flowering,28195,9010,54.31
34.7,73.6,34.9,9.9,Pumpkin,Vegetative,12587,10213,19.39
33.0,69.7,39.9,0.4,Tomato,Maturity,29001,19684,37.79
26.1,63.8,35.1,13.2,Drumstick,Flowering,15784,12847,58.23
29.1,84.3,46.5,4.5,Onion,Bulb Enlargement,9887,6837,42.5
31.3,82.7,48.7,21.9,Cauliflower,Vegetative,8400,4563,54.58
28.0,61.6,45.6,5.2,Tapioca,Root Initiation,12638,9764,25.33
33.6,61.6,39.3,0.0,Drumstick,Vegetative,13646,10668,41.24
33.4,60.1,38.8,9.1,Coriander,Leaf Expansion,1050,1171,111.35
30.9,80.5,42.6,17.4,Chilli,Fruiting,8721,4589,67.67
30.1,70.1,43.5,27.4,Onion,Bulb Development,6896,5175,32.51
33.0,60.2,46.5,10.2,Tomato,Vegetative,13111,16369,35.16
33.9,67.8,45.8,20.5,Coriander,Seed Maturity,1060,438,124.84
36.4,61.0,32.5,23.1,Coriander,Seed Maturity,1912,1516,153.43
32.0,72.6,57.5,21.2,Cauliflower,Seedling,8400,4419,45.72
31.8,58.6,43.5,0.0,Chilli,Flowering,3600,1636,68.01
31.0,75.6,63.1,11.4,Tomato,Flowering,17720,16781,27.87
29.9,62.5,43.8,0.0,Tapioca,Root Initiation,19286,17146,15.85
34.8,79.5,55.8,6.2,Tomato,Vegetative,12020,8718,46.88
29.6,86.7,50.6,5.4,Chilli,Harvest,7386,4182,62.87
34.0,62.6,46.9,25.4,Onion,Maturity,10112,9519,22.0
31.7,62.1,55.3,0.0,Brinjal,Seedling,12600,6090,54.06
37.0,58.9,25.6,23.6,Pumpkin,Fruit Development,15628,21780,13.48
31.8,72.7,33.3,13.7,Tomato,Fruiting,21631,17746,26.82
30.5,87.6,44.8,19.4,Potato,Tuber Initiation,9215,4460,38.81
33.0,72.2,48.8,29.4,Coriander,Flowering,1338,1089,125.24
30.5,62.7,45.4,28.4,Potato,Tuber Bulking,10013,8121,29.87
34.8,68.4,40.9,2.6,Cauliflower,Vegetative,8400,3588,61.86
36.3,60.0,49.7,24.4,Brinjal,Harvest,20928,24363,23.89
31.9,79.3,51.9,0.0,Tapioca,Root Initiation,12895,10287,23.45
29.0,67.0,45.7,22.5,Tomato,Maturity,24861,16459,37.49
33.5,84.4,54.6,5.8,Cauliflower,Curd Initiation,13576,4440,46.4
32.3,57.9,37.6,15.5,Potato,Vegetative,5700,3442,25.38
30.8,73.7,45.4,29.4,Tomato,Seedling,11400,6640,37.45
30.4,81.2,41.5,28.9,Tomato,Vegetative,20413,12274,41.72
35.0,62.4,46.6,0.0,Bitter Gourd,Harvest,11987,17810,27.38
36.6,87.7,50.8,21.8,Brinjal,Harvest,31071,19349,54.49
33.6,71.2,44.1,4.7,Bitter Gourd,Flowering,8747,4116,56.5
32.5,76.5,49.8,31.7,Bitter Gourd,Harvest,9979,11696,45.06
29.8,68.5,36.1,11.8,Drumstick,Pod Development,20291,10726,46.95
31.5,63.6,32.7,10.0,Onion,Bulb Development,6127,2353,42.82
31.6,59.6,48.4,0.0,Coriander,Vegetative,1172,820,147.89
33.8,67.0,33.1,19.7,Coriander,Flowering,1155,615,174.44
32.1,87.1,47.1,19.4,Chilli,Vegetative,4521,2685,84.93
29.7,70.0,63.2,20.9,Brinjal,Flowering,15142,9365,45.51
31.4,67.6,48.8,2.2,Bitter Gourd,Vegetative,11692,5491,78.29
28.5,78.8,24.1,17.6,Tapioca,Tuber Bulking,26130,14026,23.23
32.4,72.6,51.2,34.9,Drumstick,Pod Development,17755,10168,53.83
27.4,65.6,44.7,27.5,Tomato,Fruiting,20141,9545,69.01
36.1,71.0,41.5,14.4,Cauliflower,Seedling,8400,4682,39.98
32.0,63.6,43.8,44.4,Onion,Nursery,5400,7022,26.25
30.3,74.7,47.3,56.0,Brinjal,Seedling,12600,6094,48.83
32.1,77.5,28.5,27.3,Bitter Gourd,Fruiting,12219,8864,41.76
30.6,69.6,61.7,0.0,Onion,Bulb Development,8271,6086,41.79
28.6,74.8,41.3,21.7,Bitter Gourd,Vegetative,7553,5221,55.69
29.2,57.5,36.4,12.2,Chilli,Vegetative,4521,2404,91.92
33.5,62.2,37.9,0.0,Pumpkin,Flowering,19435,8919,26.01
28.7,80.6,52.9,0.0,Pumpkin,Maturity,16632,11951,19.28
33.4,62.7,45.8,37.6,Coriander,Leaf Expansion,1152,910,108.14
32.9,91.0,45.8,18.7,Tomato,Vegetative,11529,10362,38.19
35.6,78.0,56.7,20.6,Drumstick,Pod Development,13964,8494,61.54
27.4,54.1,42.5,0.0,Potato,Tuber Initiation,7185,3564,34.21
35.1,58.6,30.6,11.5,Cauliflower,Curd Development,15484,8640,37.51
33.8,83.6,50.7,40.7,Coriander,Flowering,1451,633,146.63
32.1,75.1,59.2,11.5,Cauliflower,Seedling,8400,7009,35.48
29.3,69.5,49.1,32.6,Tomato,Flowering,18812,8660,48.54
36.6,80.9,56.7,25.7,Onion,Maturity,10390,7950,42.85
29.3,68.0,45.6,4.5,Bitter Gourd,Harvest,15481,8281,51.93
35.4,78.8,43.5,12.2,Tomato,Maturity,19770,15390,35.58
34.4,66.2,39.9,36.8,Tomato,Fruiting,24374,10274,49.98
37.3,66.1,43.8,2.5,Onion,Bulb Development,8313,4794,37.45
34.6,54.2,32.7,4.9,Bitter Gourd,Harvest,17862,11964,63.35
34.1,66.6,38.1,15.7,Banana,Flowering,44164,25178,37.42
34.4,87.5,51.2,22.3,Brinjal,Flowering,12864,9129,56.0
35.0,66.7,37.1,17.8,Banana,Maturity,56634,24159,40.97
33.2,67.0,44.4,8.5,Bitter Gourd,Flowering,9714,6701,70.82
29.6,87.5,51.1,8.1,Bitter Gourd,Harvest,11072,9596,59.12
